	AB	AB_2	AS	AS_2	D	D_2	N	N_2
N06_D2__18_27	702.6345850775	1112.9075869	17.215658193	15.407036055000003	16.010263754500002	17.811652919		
N06_D2__18_28	745.3219270405	1259.607102324	7.199211045	11.3722142345	29.151873766999998	24.88767074		
N06_D2__18_29	495.607636885	3265.73788295	9.787985866	19.625283875999997	21.766784452	22.632002270999998		
N06_D2__18_4	3492.348481463	2183.284536616	75.72895277250001	53.59820700899999	16.205338808999997	16.3386308065		
N06_D2__18_5	7111.2687535370005	5053.5996731915	36.958178527499996	31.324284408	27.0696389445	26.403638324		
N06_D2__18_6	4668.019189253	3477.1408737495	52.064867043	53.582989448999996	25.5791700245	27.408633769		
N06_D2__18_7	311.77490064949995	1995.9362372814999	1.5752993065	5.554459569	8.943199208	10.7658753645		
N06_D2__18_8	166.43550066699999	1707.7403603275002	12.977209347	15.426286904	12.0877007405	11.414174867499998		
N06_D2__18_9	147.92249721000002	246.61956098899998	4.431380298500001	3.3066085285	15.052860389500001	15.4863211195		
N06_D2__19_10	773.040997164	962.4462073045	4.936005556	3.240000954	17.2140093265	16.2083522145		
N06_D2__19_11	132.076708023	392.3565870555	0.458008344	0.949182243	12.148557954000001	13.2481128685		
N06_D2__19_12	279.5540136645	1661.5771473749999	1.2269039005	2.370674235	7.459184671	12.20754132		
N06_D2__19_13	171.0839551985	2722.1222169420003	6.050899517	11.055308599499998	10.7415533125	11.874893144		
N06_D2__19_14	400.233432867	3622.9056516345	10.370159453	16.2241432545	13.923690205	12.8055797245		
N06_D2__19_15	449.1762906255	1126.8491646605	3.5462401905000003	8.9353891335	13.732988974	14.3587860985		
N06_D2__19_16	469.34851645599997	710.780290628	0.8841099165	2.6771004945	16.451612903	14.232760649500001		
N06_D2__19_17	495.0214235685	644.79864794	1.9832985385000002	3.6556772365000003	9.9338900485	14.2953135275		
N06_D2__19_18	1334.449920196	1084.7334181585	4.522696928999999	4.220716627	15.8322207385	16.25767716		
N06_D2__19_19	3616.0257129185	2933.312558086	17.3274596185	12.846217445	15.9691629955	16.938817692999997		
N06_D2__19_20	2547.9851442955	1808.1921775695	33.383476046999995	22.4830583595	6.873408933	6.394933234		
N06_D2__19_21	2317.018483627	2505.504942584	20.9795963145	14.180697818999999	28.2305835895	37.05305262		
N06_D2__19_22	90.03103520100001	595.8845770400001	6.3929199645	9.4242099625	74.884564644	52.975361542499996		
N06_D2__19_23	301.478530923	483.3508660095	34.643691589	22.931976096	9.4042056075	9.2499928515		
N06_D2__19_24	3278.6565992795004	4571.380009134	37.4493495415	26.630478060999998	7.1817018555	7.78143498		
N06_D2__19_25	3368.74007345	1972.154902863	13.3435868755	13.1696479175	9.3586875465	21.88442268		
N06_D2__19_26	948.0946410035	2461.3436518695	13.1094952955	17.211470841	17.044482463999998	18.9070924385		
N06_D2__19_27	1491.057460698	2832.6024014935	13.246834780499999	16.499434176	15.302919326000001	16.2278385515		
